search_code,code,name
tse_1101.tw,1101,台泥
tse_1102.tw,1102,亞泥
tse_1103.tw,1103,嘉泥
tse_1104.tw,1104,環泥
tse_1108.tw,1108,幸福
tse_1109.tw,1109,信大
tse_1110.tw,1110,東泥
tse_1201.tw,1201,味全
tse_1203.tw,1203,味王
tse_1210.tw,1210,大成
tse_1213.tw,1213,大飲
tse_1215.tw,1215,卜蜂
tse_1216.tw,1216,統一
tse_1217.tw,1217,愛之味
tse_1218.tw,1218,泰山
tse_1219.tw,1219,福壽
tse_1220.tw,1220,台榮
tse_1225.tw,1225,福懋油
tse_1227.tw,1227,佳格
tse_1229.tw,1229,聯華
tse_1231.tw,1231,聯華食
tse_1232.tw,1232,大統益
tse_1233.tw,1233,天仁
tse_1234.tw,1234,黑松
tse_1235.tw,1235,興泰
tse_1236.tw,1236,宏亞
tse_1256.tw,1256,鮮活果汁-KY
tse_1301.tw,1301,台塑
tse_1303.tw,1303,南亞
tse_1304.tw,1304,台聚
tse_1305.tw,1305,華夏
tse_1307.tw,1307,三芳
tse_1308.tw,1308,亞聚
tse_1309.tw,1309,台達化
tse_1310.tw,1310,台苯
tse_1312.tw,1312,國喬
tse_1313.tw,1313,聯成
tse_1314.tw,1314,中石化
tse_1315.tw,1315,達新
tse_1316.tw,1316,上曜
tse_1319.tw,1319,東陽
tse_1321.tw,1321,大洋
tse_1323.tw,1323,永裕
tse_1324.tw,1324,地球
tse_1325.tw,1325,恆大
tse_1326.tw,1326,台化
tse_1337.tw,1337,再生-KY
tse_1338.tw,1338,廣華-KY
tse_1339.tw,1339,昭輝
tse_1340.tw,1340,勝悅-KY
tse_1341.tw,1341,富林-KY
tse_1342.tw,1342,八貫
tse_1402.tw,1402,遠東新
tse_1409.tw,1409,新纖
tse_1410.tw,1410,南染
tse_1413.tw,1413,宏洲
tse_1414.tw,1414,東和
tse_1416.tw,1416,廣豐
tse_1417.tw,1417,嘉裕
tse_1418.tw,1418,東華
tse_1419.tw,1419,新紡
tse_1423.tw,1423,利華
tse_1432.tw,1432,大魯閣
tse_1434.tw,1434,福懋
tse_1435.tw,1435,中福
tse_1436.tw,1436,華友聯
tse_1437.tw,1437,勤益控
tse_1438.tw,1438,三地開發
tse_1439.tw,1439,中和
tse_1440.tw,1440,南紡
tse_1441.tw,1441,大東
tse_1442.tw,1442,名軒
tse_1443.tw,1443,立益
tse_1444.tw,1444,力麗
tse_1445.tw,1445,大宇
tse_1446.tw,1446,宏和
tse_1447.tw,1447,力鵬
tse_1449.tw,1449,佳和
tse_1451.tw,1451,年興
tse_1452.tw,1452,宏益
tse_1453.tw,1453,大將
tse_1454.tw,1454,台富
tse_1455.tw,1455,集盛
tse_1456.tw,1456,怡華
tse_1457.tw,1457,宜進
tse_1459.tw,1459,聯發
tse_1460.tw,1460,宏遠
tse_1463.tw,1463,強盛
tse_1464.tw,1464,得力
tse_1465.tw,1465,偉全
tse_1466.tw,1466,聚隆
tse_1467.tw,1467,南緯
tse_1468.tw,1468,昶和
tse_1470.tw,1470,大統新創
